Codi_centre;Denominació_completa;Adreça;Codi_postal;Telèfon;Codi_delegació;Nom_delegació;Codi_comarca;Nom_comarca;Codi_municipi;Nom_municipi;id_poblacio
8000013;Institut Voltrera;pg. de l'Estació, 18;8630;937703211;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;1
8045689;Escola Ernest Lluch;pg. de l'Estació, 15;8630;937701213;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;1
8059822;Llar d'infants Món Petit;c. Federico García Lorca, 15;8630;937703458;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;1
8060721;LLI privada Quitxalla;c. de la Purlom, 12;8630;;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;1
8066152;Escola Josefina Ibáñez;c. Esparreguera, 3;8630;935194004;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;1
8067132;Esc. de Música Municipal d'Abrera;p. del Rebato, 1;8630;937702702;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;1
8069414;LLI privada Piu Piu 1;c. Barcelona, 23 (P.ind.Barcelonès II;8630;938184353;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;1
8074392;Escola Mare de Déu del Portal - ZER Vent d'Avall;c. Del Mur, s/n;8281;938698901;1060;Catalunya Central;6;Anoia;8170;Prats de Rei;3
8023141;Llar d'infants d'Prats de Rei;ctra. de Pedrafita, 39;8281;938680839;1060;Catalunya Central;6;Anoia;8170;Prats de Rei;3
8064507;Escola Fabra;av. del Bosquet, 1;8328;935557803;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8000049;Santa María del Pino;riera Coma Clara, 19-21;8328;935554411;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8041052;Institut d'Alella;av. del Bosquet, 7;8328;935403110;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8046785;LLI privada Campanar;pl. de l'Església, 6;8328;935552147;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8048253;LLI privada Montessori Maresme;c. Verdaguer, 6;8328;615316892;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8056900;Escola La Serreta;c. Núria, 26-28;8328;935406427;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8061063;Llar d'infants Pinyons;av. del Bosquet, 5;8328;937432613;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8069128;CFA d'Alella;av. Ferràn Fabra, 1;8328;935553912;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;4
8074938;Escola Bertí;Antic camí de Caldes, s/n;8480;938432778;508;Maresme - Vallès Oriental;41;Vallès Oriental;8005;Ametlla del Vallès;6
8000098;Institut Eugeni Xammar;Antic Camí de Bigues, s/n;8480;938430125;508;Maresme - Vallès Oriental;41;Vallès Oriental;8005;Ametlla del Vallès;6
8054241;Esc. de Música Municipal de l'Ametlla del Vallès;c. Club, s/n;8480;938432882;508;Maresme - Vallès Oriental;41;Vallès Oriental;8005;Ametlla del Vallès;6
8055211;Escola Cingles;c. Camí de la Violona, s/n;8480;938457039;508;Maresme - Vallès Oriental;41;Vallès Oriental;8005;Ametlla del Vallès;6
8057266;LLI privada Carrilet;c. Garrofer, 18 (urb.Can Diví);8480;938430250;508;Maresme - Vallès Oriental;41;Vallès Oriental;8005;Ametlla del Vallès;6
8057931;Escola Bressol Municipal l'Ametller;c. del Pinar, s/n;8480;938457959;508;Maresme - Vallès Oriental;41;Vallès Oriental;8005;Ametlla del Vallès;6
8073272;La Presentació;c. Pompeu Fabra, 2;8350;937920241;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8000131;Escola Joan Maragall;Rial de Sa Clavella, s/n;8350;937922802;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8000153;Institut Tres Turons;ptge. Tres Turons, 1;8350;937959603;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8035155;Escola de Dansa Sinera;c. Sant Pere, 8 baixos;8350;931307777;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8056171;Escola Sinera;av. de Pau Costa, 73;8350;937920984;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8058519;Esc. de Música Municipal;Riera del Pare Fita, 31;8350;937957264;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8059861;Escola Bressol dels Colors;av. Pau Costa, 75;8350;937931860;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8073326;Escola de Ballet d'Arenys;c. Professor Castelló, 24;8350;937920571;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8075128;Llar d'infants Maricel;Rial de Sa Clavella, 117;8350;937923002;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;7
8077711;Escola Sant Martí;c. Generalitat, 2;8358;937938070;508;Maresme - Vallès Oriental;21;Maresme;8007;Arenys de Munt;8
8000165;Institut Domènec Perramon;paratge Torrent d'en Terra, s/n;8358;937951333;508;Maresme - Vallès Oriental;21;Maresme;8007;Arenys de Munt;8
8034187;Escola Sobirans;ctra. de Lourdes, 29;8358;937950518;508;Maresme - Vallès Oriental;21;Maresme;8007;Arenys de Munt;8
8055890;Escola Bressol La Petjada;c. Can Barbeta, 8;8358;937937388;508;Maresme - Vallès Oriental;21;Maresme;8007;Arenys de Munt;8
8071007;CFA Enric Camón;c. Generalitat, 2;8358;;508;Maresme - Vallès Oriental;21;Maresme;8007;Arenys de Munt;8
8074860;Escola Bernat de Riudemeia;c. Bernat de Riudemeia, 27;8310;937970956;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8000189;Escola Sant Miquel del Cros;barri Cros;8310;937993951;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8039598;LLI privada Argenins;c. Mare de Déu de Montserrat, 11;8310;937971152;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8050181;Institut d'Argentona;c. Peons Caminers, 25;8310;937974610;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8052876;Escola Fonts;c. Abad Escarré, 49;8310;937561713;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8060319;Llar d'infants Cargol Treu Banya;av. del Mediterrani, s/n(veïnat del Cros;8310;937575188;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8060502;Llar d'infants Bosquet;c. J. Domingo Bellalta i Collet, 1;8310;937974523;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8068227;Escola Nova d'Argentona;av. dels Països Catalans, s/n;8310;937970057;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;10
8073958;Vedruna Artés;c. Carme, 16;8271;938305212;1060;Catalunya Central;7;Bages;8010;Artés;11
8000220;Escola Doctor Ferrer;c. Barcelona, 23;8271;938305377;1060;Catalunya Central;7;Bages;8010;Artés;11
8000244;Institut Miquel Bosch i Jover;c. Arquitecte Gaudí, 2-4;8271;938202193;1060;Catalunya Central;7;Bages;8010;Artés;11
8046876;Esc. de Música Municipal d'Artés;c. de les Parres, 44;8271;938726369;1060;Catalunya Central;7;Bages;8010;Artés;11
8057291;Escola Bressol Moixaines;c. Manresa-Arquitecte Gaudí;8271;938305757;1060;Catalunya Central;7;Bages;8010;Artés;11
8061130;Escola Santa Maria d'Avià;c. Escoles, s/n;8610;938230376;1060;Catalunya Central;14;Berguedà;8011;Avià;12
8000271;Llar d'infants La Baldufa;c. Estudis, s/n (final);8610;938230376;1060;Catalunya Central;14;Berguedà;8011;Avià;12
8051276;Escola d'Olvan - ZER Baix Berguedà;pl. de l'Ajuntament;8611;938251611;1060;Catalunya Central;14;Berguedà;8144;Olvan;13
8022331;Llar d'infants d'Olvan;pl. de l'Ajuntament, s/n;8611;;1060;Catalunya Central;14;Berguedà;8144;Olvan;13
8072334;Escola Roures - ZER Gavarresa;c. Sant Roc, s/n;8279;938139007;1060;Catalunya Central;7;Bages;8212;Sant Feliu Sasserra;14
8026415;Llar d'infants Petits Roures;pl. Major, 1;8279;938819011;1060;Catalunya Central;7;Bages;8212;Sant Feliu Sasserra;14
8059743;Escola Vall de Néspola - ZER Moianès Ponent;c. de les Escoles, s/n;8279;938316908;1060;Catalunya Central;7;Bages;8139;Mura;14
8061521;Llar d'infants Nou Estel;c. Indústria/c. Entitats;8279;;1060;Catalunya Central;7;Bages;8012;Avinyó;14
8072887;Institut Escola Barnola;c. Indústria, 6;8279;938387279;1060;Catalunya Central;7;Bages;8012;Avinyó;14
8076613;Escola Circell;c. de Rafael Casanovas, s/n;8734;938171452;1260;Penedès;3;Alt Penedès;8145;Olèrdola;15
8022343;Escola Bressol Gotims;c. Lluís Companys, 1-3;8734;938172792;1260;Penedès;3;Alt Penedès;8145;Olèrdola;15
8046189;Escola Jacint Verdaguer;c. Sant Cristòfol, 15;8792;938974326;1260;Penedès;3;Alt Penedès;8094;Granada;16
8017682;Escola Moreres - ZER Cep de Sis;c. Escoles, 3;8792;938975095;1260;Penedès;3;Alt Penedès;8249;Santa Fe del Penedès;16
8028151;Llar d'infants Moreres;c. de les Escoles, 3;8792;634671440;1260;Penedès;3;Alt Penedès;8249;Santa Fe del Penedès;16
8047391;Llar d'infants de La Granada;c. de Sant Cristòfol, 13;8792;938975122;1260;Penedès;3;Alt Penedès;8094;Granada;16
8054915;Escola d'Avinyonet del Penedès;pg. de la Grava, s/n;8793;938970443;1260;Penedès;3;Alt Penedès;8013;Avinyonet del Penedès;17
8000347;Llar d'infants Cargol;pl. de la Vila, 1 baixos;8793;938970443;1260;Penedès;3;Alt Penedès;8013;Avinyonet del Penedès;17
8058684;Escola Vinyes;c. La Masia, s/n;8798;938970549;1260;Penedès;3;Alt Penedès;8206;Sant Cugat Sesgarrigues;18
8026099;Llar d'infants La Balena;c. Rasa de l'Amell, s/n;8798;938970723;1260;Penedès;3;Alt Penedès;8206;Sant Cugat Sesgarrigues;18
8058039;Escola La Muntanya;c. Núria, s/n;8591;938440179;508;Maresme - Vallès Oriental;41;Vallès Oriental;8014;Aiguafreda;19
8000359;Esc. de Música Municipal d'Aiguafreda;c. Núria, 56;8591;938440182;508;Maresme - Vallès Oriental;41;Vallès Oriental;8014;Aiguafreda;19
8064404;Escola Lola Anglada;c. Riera de Canyadó, 53;8911;934642540;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8000384;Sant Andreu;c. Arnús, 16-18;8911;933847710;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8000517;Nen Jesús de Praga;c. Barcelona, 44;8911;933842413;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8000578;Cultural;pl. Marquès de Barberà, 13;8911;933840451;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8000918;Cultural Fluvià;c. Fluvià, 64;8911;934640731;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8001030;Minguella;c. Sta.Madrona,75 i Sta.Maria,30 i 34-36;8911;933892287;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8001157;CEE Escola Llevant;av. Martí Pujol, 110 i Arnús, 24;8911;933893050;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8034291;Cons. de Música de Badalona;c. Pare Claret, 2;8911;933893957;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8038363;Escola Artur Martorell;c. de la Seu d'Urgell, 32;8911;935671660;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8041571;Escola de Dansa L'Assaig;c. Mercè, 58;8911;933841718;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8047716;LLI privada Valonsadero;c. Jaume Ribó, 27;8911;933894092;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8048320;LLI privada Patufet;c. Sant Sebastià, 37;8911;933891693;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8050028;Tabalet;c. Fluvià, 37;8911;933844855;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8050946;LLI privada Petit Cultural Blau;c. Sant Bru, 191;8911;933899255;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8053376;Esc. de Música Municipal;c. Pare Claret, 2;8911;933893957;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8055555;Escola Progrés;c. d'Eduard Maristany, 104-118;8911;934605860;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8059639;Llar d'infants Ralet ralet;av. Marquès de Montroig, 178;8911;933996717;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8063515;Cenafe Badalona;c. Francesc Layret, 78-82;8911;640571311;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8075530;Institut Escola Baldomer Solà;av. Marquès de Mont-Roig, 178;8911;933976150;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8076431;Institut Escola Rafael Alberti;av. Pius XII, s/n;8911;933993451;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8076443;Institut Escola Sant Jordi;av. Sabadell, s/n;8911;933953305;208;Barcelonès;13;Barcelonès;8015;Badalona;20
8076455;Escola Ventós i Mir;ptge. Ventós i Mir, 29-31;8912;933895523;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8000396;Sant Domènec Savio;c. Alfons XII, 111;8912;933877254;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8000499;Maristes Champagnat;c. Dos de Maig, 67;8912;933895650;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8000700;Badalonès;c. Arbres, 17;8912;933895716;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8000761;Betúlia;c. Conquesta, 57-65;8912;933996807;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8000967;López Torrejón;c. Roger de Flor, 115-117;8912;934606253;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8000979;Laietània;c. Saragossa, 18 i 19;8912;933881447;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8001297;Perruqueria i Estètica Badalona;c. Francesc Macià, 30;8912;933885201;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8033717;Institut La Llauna;c. Sagunto, 5 (edifici la Llauna);8912;933985211;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8040527;Escola Jungfrau;c. Vila Vall-Llebrera, s/n;8912;933840408;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8041568;Escola Gitanjali;av. Martí Pujol, 37-41;8912;933845411;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8041581;Institut Badalona VII;c. Ausiàs March, 86;8912;933978511;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8042019;LLI privada L'Estel;c. Ausiàs March, 79;8912;933991952;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8048344;LLI privada Walt Disney;av. Martí Pujol, 105;8912;933891044;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8050958;LLI privada Snoopy;c. Francesc Macià, 11;8912;933837010;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8051835;Escola de Dansa Marisa Yudes;ptge. de la Plana, 4;8912;933845105;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8055750;LLI privada Patimpetons;c. Camprodon, 35;8912;933999558;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8060691;LLI privada Rialles;c. Guifré, 97-99;8912;933841631;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8063333;Escola Badalona Port;c. Indústria, 271;8912;933837615;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8068331;Escola de Dansa Danzalona;c. Saragossa, 5, local;8912;636135324;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8074331;Llar d'infants L'Escoleta de Badalona;c. Sant Ignasi de Loiola, 112;8912;608374692;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8075190;Escola Bressol Nins;c. Enric Borràs, 30;8912;695039917;208;Barcelonès;13;Barcelonès;8015;Badalona;21
8075943;Llefià;c. Europa, 2 i 2 bis/c. Sèquia 1A i 1B;8913;933883298;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8000712;Cultural;ptge. Pi i Gibert, 29-31;8913;933875299;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8000864;Ramiro de Maeztu;c. Ramiro de Maeztu, s/n;8913;933880238;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8000980;Maria Ward;c. Sant Frederic, s/n;8913;933872898;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8001066;Escola Antoni Botey;av. Doctor Bassols, 77 A;8913;933872589;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8001509;Escola Pere de Tera;av. Cardenal Vidal i Barraquer, 25;8913;933870103;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8035878;Escola Rafael Casanova;c. Guasch, 80;8913;933879658;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8037875;Escola Ítaca;ctra. Antiga de València, 99-101;8913;933838552;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8044508;Institut Barres i Ones;ctra. Antiga de València, 95;8913;933874404;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8044995;Arco Iris;c. Bellavista, 23-25;8913;933973145;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8051801;Institut Júlia Minguell;c. Niça, 4 (apartat 544);8913;934607469;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8052888;CFA Gran Sol;pl. Trafalgar, 1-7 (Edifici Torre Mena);8913;933832803;208;Barcelonès;13;Barcelonès;8015;Badalona;22
8060204;Escola Feliu i Vegués;c. Sírius, 2A;8914;933871241;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8000402;FEP Mare de Déu de la Salut;pg. de la  Salut, 36-38;8914;933876243;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8000670;Arrels-Esperança;c. Provença, 7;8914;933876199;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8000921;Escola Margarida Xirgu;c. Torí/Pelai;8914;933977750;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8034965;Escola Baldiri Reixac;c. Juan Valera, 159;8914;933983518;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8037887;Escola Josep Carner;c. Brasil, s/n;8914;933835803;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8041167;Institut Enric Borràs;ptge. Encants, s/n;8914;934603450;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8045604;LLI privada Picarol;c. Don Pelai, 5;8914;933990854;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8051823;LLI privada Bambi;c. Ricard Strauss, 2-4;8914;933887602;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8052271;Llar d'infants Nero Nas;c. Londres, 26;8914;933994531;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8063436;Institut Escola Turó d'en Caritg;av. del Marquès de Sant Morí, 251;8914;933974947;208;Barcelonès;13;Barcelonès;8015;Badalona;23
8076901;Arrels-Blanquerna;av. Roma, 29-31;8915;933951657;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8001133;Institut Isaac Albéniz;parc Serentill, s/n;8915;933830511;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8001431;EA Pau Gargallo;parc Serentill, s/n;8915;933997652;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8001480;Escola Salvador Espriu;c. Reina Elisenda/av. Morera, s/n;8915;934650561;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8044296;Institut Pompeu Fabra;c. Molí de la Torre, 34-58;8915;933836311;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8045471;Llar d'infants Mare de Déu del Pilar;av. de Terrassa, s/n;8915;933953703;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8048058;Llar d'infants Pinotxo;av. de Sabadell, s/n(barri Pomar);8915;933953153;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8048061;Barrufets;c. Astúries, 2;8915;933955905;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8050031;LLI privada Petit Cultural;c. Doctor Daudí, 14;8915;933994302;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8051811;Escola de Dansa Stil;c. Pere III, 38;8915;933951957;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8056951;LLI privada Petits;av. President Companys, 82;8915;933890694;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8057886;CFA Morera Pomar;c. de Pineda, s/n;8915;933952604;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8060216;Escola Bufalà;c. Molí de la Torre, 98-100;8915;934651725;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8061348;LLI privada Badiu;c. Prat de la Riba, 16;8915;933951346;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8068975;Escola Montigalà;av. Comunitat Europea, 16-18;8915;934655149;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8069748;A. Hospitalària Hospital de Dia de Badalona;c. Martí Pujol, 654;8915;;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8070261;Escola Bressol Virolet;c. Molí de la Torre, 169;8915;934651057;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8072504;LLI privada Petit Nen Jesús de Praga;c. Jacint Verdaguer, 14-18;8915;933842413;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8072620;Institut La Riera;c. Jacinto Benavente, 13;8915;938574313;208;Barcelonès;13;Barcelonès;8015;Badalona;24
8073171;Garbí Pere Vergés;av. de les Palmeres, 5;8916;933954311;208;Barcelonès;13;Barcelonès;8015;Badalona;25
8000943;A. Hospitalària Hospital Universitari Trias i Pujol;ctra. del Canyet, s/n;8916;934651200;208;Barcelonès;13;Barcelonès;8015;Badalona;25
8055178;A. Hospitalària URPI Hospital Universitari Germans Trias i Pujol;ctra. de Canyet, s/n, planta 12;8916;934978479;208;Barcelonès;13;Barcelonès;8015;Badalona;25
8078518;Montserrat;c. Carles I, 9-13;8917;933880045;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8000608;Jesús Maria;c. Lepant, 3;8917;933874696;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8000827;Escola Planas i Casals;c. Muntaner, 2-18;8917;933951406;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8001391;Institut La Pineda;c. de la Batlloria, s/n;8917;933990511;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8001421;Institut Pau Casals;av. Lloreda, 16-32;8917;933974611;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8033869;Escola Miguel Hernández;c. Miguel Hernández, 13-15;8917;933980450;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8035398;Escola Joan Miró;pl. alcalde Joan Manent, 1;8917;933877399;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8035404;Escola Llorens i Artigas;av. Catalunya, 20;8917;933983603;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8035854;Escola Joan Coret;pl. dels Voluntaris Olímpics, 1-3;8917;933976361;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8036135;Escola Pau Picasso;c. Pau Picasso, 28-32;8917;933982711;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8036147;Escola Joan Llongueras;c. Sant Fermí, 3;8917;933993192;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8036342;Escola Folch i Torres;c. Wagner, 68-84;8917;933978478;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8037899;Escola Mercè Rodoreda;av. Catalunya, 30-36 (barri de Lloreda);8917;933834650;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8040345;Institut Ventura Gassol;av. Mónaco, 36-50;8917;933991801;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8046751;CFA Lloreda-la Pau;c. Figueres, 2 A;8917;933832453;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8061580;Escola Ciències;c. de la Ciència, 19;8917;938823516;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8068343;Escola Bressol Pam i Pipa;c. Pau Picasso, s/n;8917;933988815;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8069013;Escola Bressol Uni dori;c. Manuel Moreno Mauricio/pg. Olof Palme;8917;934970628;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8071536;EB privada Petit Micaco;ptge. Riu Onyar, 5-7;8917;660606789;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8076224;Institut Escola Llibertat;av. Puigfred, 13;8917;933976761;208;Barcelonès;13;Barcelonès;8015;Badalona;26
8076923;Mare de Déu de l'Assumpció;c. Sant Joan Evangelista, 22;8918;933871554;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8001108;Lestonnac;c. Santa Joana de Lestonnac, s/n;8918;933871295;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8001145;Santíssima Trinitat;c. Santiago, 57;8918;933874854;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8001170;Institut Eugeni d'Ors;av. Maresme, 192-212;8918;933875866;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8001443;Joan Maragall;c. Guifré, 300;8918;933833657;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8034916;Escola Josep Boada;av. Marquès de Montroig, 169;8918;933883731;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8035416;EOI Badalona;av. Marquès de Montroig, 237;8918;933833099;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8053029;LLI privada Tam-Tam;av. Joan XXIII, 20;8918;933872818;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8054484;CFA Sant Roc;av. Maresme, 182;8918;934603996;208;Barcelonès;13;Barcelonès;8015;Badalona;27
8055403;Escola Galceran de Pinós;av. Reina Elisenda, 2;8695;938244116;1060;Catalunya Central;14;Berguedà;8016;Bagà;28
8001522;Llar d'infants L'Esquirol;ptge. Gibellàs, 1;8695;649337760;1060;Catalunya Central;14;Berguedà;8016;Bagà;28
8052190;Institut L'Alt Berguedà;av. Salarich, 29;8695;938244136;1060;Catalunya Central;14;Berguedà;8016;Bagà;28
8052891;Escola Bressol Roc Petit;c. Doctor Coll Rovira, s/n;8550;938820303;1060;Catalunya Central;24;Osona;8017;Balenyà;29
8072875;Institut Escola Carles Capdevila;c. Escoles, s/n;8550;938898304;1060;Catalunya Central;24;Osona;8017;Balenyà;29
8076959;Llar d'infants Sant Marc;c. Sant Marc/ctra. de Moià;8660;938200360;1060;Catalunya Central;7;Bages;8018;Balsareny;30
8072681;Institut Escola Guillem de Balsareny;c. del Carrilet, 8;8660;938396188;1060;Catalunya Central;7;Bages;8018;Balsareny;30
8077401;Escola Collaso i Gil;c. Sant Pau, 101;8001;934410098;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8001819;Escola Milà i Fontanals;c. Àngels, s/n;8001;934427038;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8001820;Escola Castella;pl. Castella, 8;8001;933020835;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8001832;Escola Drassanes;c. Nou de Sant Francesc, 9-13;8001;933189733;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8001856;Escola Rubén Darío;rda. Sant Pau, 38;8001;934429203;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8001868;Vedruna Àngels Barcelona;pl. dels Àngels, 3;8001;933186298;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8005618;Escola Pia Sant Antoni;rda. Sant Pau, 72;8001;934410605;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8005746;Institut Milà i Fontanals;pl. Josep Ma. Folch i Torres, s/n;8001;934417958;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8013196;Stucom Pelai;c. Pelai, 8;8001;933015696;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
8032361;Centre d'Estudis Catalunya;c. Jovellanos, 6;8001;933182092;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;31
